"","id","play","p1Cards"
"1",1,1,26
"2",1,2,25
"3",1,3,24
"4",1,4,23
"5",1,5,22
"6",1,6,23
"7",1,7,24
"8",1,8,23
"9",1,9,24
"10",1,10,23
"11",1,11,22
"12",1,12,21
"13",1,13,22
"14",1,14,23
"15",1,15,24
"16",1,16,25
"17",1,17,24
"18",1,18,23
"19",1,19,22
"20",1,20,23
"21",1,21,24
"22",1,22,23
"23",1,23,22
"24",1,24,21
"25",1,25,22
"26",1,26,21
"27",1,27,22
"28",1,28,21
"29",1,29,22
"30",1,30,21
"31",1,31,16
"32",1,32,17
"33",1,33,16
"34",1,34,15
"35",1,35,16
"36",1,36,15
"37",1,37,14
"38",1,38,15
"39",1,39,14
"40",1,40,13
"41",1,41,14
"42",1,42,15
"43",1,43,14
"44",1,44,15
"45",1,45,16
"46",1,46,15
"47",1,47,16
"48",1,48,17
"49",1,49,16
"50",1,50,17
"51",1,51,16
"52",1,52,15
"53",1,53,14
"54",1,54,13
"55",1,55,14
"56",1,56,15
"57",1,57,16
"58",1,58,17
"59",1,59,18
"60",1,60,19
"61",1,61,20
"62",1,62,19
"63",1,63,14
"64",1,64,13
"65",1,65,14
"66",1,66,15
"67",1,67,14
"68",1,68,13
"69",1,69,14
"70",1,70,15
"71",1,71,14
"72",1,72,15
"73",1,73,14
"74",1,74,13
"75",1,75,12
"76",1,76,11
"77",1,77,10
"78",1,78,11
"79",1,79,6
"80",1,80,5
"81",1,81,4
"82",1,82,5
"83",1,83,4
"84",1,84,5
"85",1,85,6
"86",1,86,7
"87",1,87,8
"88",1,88,7
"89",1,89,6
"90",1,90,5
"91",1,91,4
"92",1,92,3
"93",1,93,4
"94",1,94,5
"95",1,95,4
"96",1,96,3
"97",1,97,4
"98",1,98,5
"99",1,99,4
"100",1,100,5
"101",1,101,0
"102",2,1,26
"103",2,2,27
"104",2,3,28
"105",2,4,27
"106",2,5,26
"107",2,6,25
"108",2,7,24
"109",2,8,25
"110",2,9,24
"111",2,10,23
"112",2,11,28
"113",2,12,23
"114",2,13,24
"115",2,14,25
"116",2,15,30
"117",2,16,31
"118",2,17,30
"119",2,18,29
"120",2,19,24
"121",2,20,25
"122",2,21,24
"123",2,22,25
"124",2,23,24
"125",2,24,25
"126",2,25,26
"127",2,26,27
"128",2,27,28
"129",2,28,29
"130",2,29,30
"131",2,30,29
"132",2,31,28
"133",2,32,27
"134",2,33,26
"135",2,34,27
"136",2,35,26
"137",2,36,25
"138",2,37,24
"139",2,38,19
"140",2,39,20
"141",2,40,19
"142",2,41,18
"143",2,42,17
"144",2,43,16
"145",2,44,17
"146",2,45,18
"147",2,46,19
"148",2,47,18
"149",2,48,17
"150",2,49,18
"151",2,50,17
"152",2,51,18
"153",2,52,19
"154",2,53,18
"155",2,54,19
"156",2,55,18
"157",2,56,17
"158",2,57,16
"159",2,58,15
"160",2,59,14
"161",2,60,13
"162",2,61,14
"163",2,62,13
"164",2,63,14
"165",2,64,15
"166",2,65,14
