"","id","strength","strength_pct","aces","faces","deuces","result","plays","infinite"
"1",1,192,0.461538461538462,0,0,2,"L",100,FALSE
"2",2,210,0.504807692307692,2,1,1,"W",334,FALSE
"3",3,224,0.538461538461538,3,0,2,"W",86,FALSE
"4",4,227,0.545673076923077,2,1,0,"L",180,FALSE
"5",5,218,0.524038461538462,1,0,2,"L",892,FALSE
"6",6,200,0.480769230769231,3,0,3,"W",512,FALSE
"7",7,218,0.524038461538462,2,1,2,"W",460,FALSE
"8",8,188,0.451923076923077,1,0,2,"L",148,FALSE
"9",9,192,0.461538461538462,2,1,3,"L",180,FALSE
"10",10,199,0.478365384615385,3,1,4,"L",438,FALSE
"11",11,202,0.485576923076923,2,0,1,"L",168,FALSE
"12",12,207,0.497596153846154,3,0,3,"L",452,FALSE
"13",13,203,0.487980769230769,1,0,1,"W",72,FALSE
"14",14,190,0.456730769230769,0,0,2,"L",90,FALSE
"15",15,208,0.5,1,0,1,"L",164,FALSE
"16",16,203,0.487980769230769,1,0,1,"W",196,FALSE
"17",17,210,0.504807692307692,2,1,2,"L",224,FALSE
"18",18,211,0.507211538461538,2,0,2,"L",130,FALSE
"19",19,191,0.459134615384615,0,1,2,"W",714,FALSE
"20",20,170,0.408653846153846,0,0,4,"L",936,FALSE
"21",21,201,0.483173076923077,1,0,3,"W",888,FALSE
"22",22,193,0.463942307692308,1,1,4,"L",114,FALSE
"23",23,228,0.548076923076923,2,0,2,"L",166,FALSE
"24",24,196,0.471153846153846,1,1,1,"L",214,FALSE
"25",25,201,0.483173076923077,2,0,4,"L",104,FALSE
"26",26,176,0.423076923076923,1,0,3,"L",72,FALSE
"27",27,185,0.444711538461538,0,0,2,"L",196,FALSE
"28",28,191,0.459134615384615,1,1,3,"L",974,FALSE
"29",29,209,0.502403846153846,2,0,1,"L",732,FALSE
"30",30,205,0.492788461538462,1,0,3,"L",212,FALSE
"31",31,199,0.478365384615385,2,0,2,"L",218,FALSE
"32",32,209,0.502403846153846,2,0,3,"L",108,FALSE
"33",33,199,0.478365384615385,3,1,2,"W",244,FALSE
"34",34,208,0.5,2,1,1,"W",100,FALSE
"35",35,241,0.579326923076923,3,0,0,"W",232,FALSE
"36",36,208,0.5,3,0,3,"W",116,FALSE
"37",37,202,0.485576923076923,3,0,2,"W",220,FALSE
"38",38,208,0.5,2,1,1,"L",256,FALSE
"39",39,217,0.521634615384615,2,0,1,"L",566,FALSE
"40",40,217,0.521634615384615,2,0,1,"W",168,FALSE
"41",41,194,0.466346153846154,2,0,3,"W",122,FALSE
"42",42,217,0.521634615384615,3,0,2,"W",196,FALSE
"43",43,204,0.490384615384615,1,0,2,"W",342,FALSE
"44",44,188,0.451923076923077,1,0,4,"W",340,FALSE
"45",45,199,0.478365384615385,2,0,2,"L",92,FALSE
"46",46,195,0.46875,1,1,3,"W",92,FALSE
"47",47,217,0.521634615384615,3,1,2,"W",176,FALSE
"48",48,212,0.509615384615385,2,0,2,"L",328,FALSE
"49",49,225,0.540865384615385,3,1,2,"W",380,FALSE
"50",50,210,0.504807692307692,3,0,2,"L",584,FALSE
"51",51,196,0.471153846153846,3,0,3,"W",242,FALSE
"52",52,213,0.512019230769231,1,0,1,"L",260,FALSE
"53",53,220,0.528846153846154,3,0,2,"W",434,FALSE
"54",54,184,0.442307692307692,2,0,2,"L",272,FALSE
"55",55,184,0.442307692307692,2,0,3,"L",78,FALSE
"56",56,219,0.526442307692308,2,1,1,"W",182,FALSE
"57",57,214,0.514423076923077,2,1,3,"L",428,FALSE
"58",58,215,0.516826923076923,2,1,2,"W",132,FALSE
"59",59,195,0.46875,2,0,3,"L",120,FALSE
"60",60,181,0.435096153846154,1,0,2,"L",110,FALSE
"61",61,201,0.483173076923077,2,1,2,"L",458,FALSE
"62",62,220,0.528846153846154,3,0,2,"W",518,FALSE
"63",63,204,0.490384615384615,1,0,1,"W",508,FALSE
