"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53"
"1",1,0.495423085510159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0.518440530883104,0,0.481559469116896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0.527243836178174,0,0.472756163821826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0.532178580141498,0,0.467821419858502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0.46746450673462,0,0.47064979978158,0,0,0,0.0295777211503458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0.0312929705404392,0,0,0,0.469436226509438,0,0.471769657069045,0,0,0,0.0275011458810784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0.0322336561743341,0,0,0,0.471436138014528,0,0.466366525423729,0,0,0,0.0299636803874092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0.0329794520547945,0,0,0,0.470958904109589,0,0.466643835616438,0,0,0,0.0294178082191781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0.0271664896038853,0,0,0,0.466201244498406,0,0.475125208681135,0,0,0,0.0278039156169373,0,0,0,0.00185157079981788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0.00203121659183237,0,0,0,0.0275817831943554,0,0,0,0.472231131066923,0,0.468115244815052,0,0,0,0.028330126149241,0,0,0,0.00171049818259568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0.00208358570563295,0,0,0,0.0264324651726227,0,0,0,0.471205330102968,0,0.471084191399152,0,0,0,0.0274015748031496,0,0,0,0.00179285281647486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0.0017571218344352,0,0,0,0.0273232445254673,0,0,0,0.466164422675657,0,0.475740736673329,0,0,0,0.0275648487777021,0,0,0,0.00144962551340904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0.00191930904874245,0,0,0,0.0281498660482226,0,0,0,0.466432084449598,0,0.473529529369427,0,0,0,0.0281698588508137,0,0,0,0.00161941700987644,0,0,0,3.99856051821344e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0.000111517945095998,0,0,0,0.00157983755552664,0,0,0,0.0281954537851049,0,0,0,0.472482947047562,0,0.468784268535212,0,0,0,0.0271917922792409,0,0,0,0.00154266490716131,0,0,0,0.000111517945095998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0.000156095530464644,0,0,0,0.00166501899162287,0,0,0,0.0266576478137954,0,0,0,0.468564094559204,0,0.473593839429731,0,0,0,0.0276115649444126,0,0,0,0.00173439478294049,0,0,0,1.73439478294049e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0.000179550796552625,0,0,0,0.00168124836772003,0,0,0,0.0280752154609559,0,0,0,0.473965134499869,0,0.46704426743275,0,0,0,0.0274712718725516,0,0,0,0.0014853747714808,0,0,0,9.79367981196135e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0.00010842459069717,0,0,0,0.00147147658803302,0,0,0,0.0281749043540218,0,0,0,0.470547234398476,0,0.469958643763263,0,0,0,0.0280045228543548,0,0,0,0.00162636886045755,0,0,0,9.29353634547172e-05,0,0,0,1.54892272424529e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,7.28990493963959e-05,0,0,0,0.00179331661515134,0,0,0,0.0279349157286989,0,0,0,0.469601096401703,0,0.470184288796874,0,0,0,0.0285910071732665,0,0,0,0.00170583775587566,0,0,0,0.000102058669154954,0,0,0,1.45798098792792e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,1.37240101557675e-05,0,0,0,0.00010979208124614,0,0,0,0.00161943319838057,0,0,0,0.0277636725451177,0,0,0,0.469333699306937,0,0.472737253825568,0,0,0,0.0267892678240582,0,0,0,0.00155081314760173,0,0,0,8.23440609346051e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,1.28773050376017e-05,0,0,0,0.000128773050376017,0,0,0,0.00191871845060266,0,0,0,0.0278407334912949,0,0,0,0.468244565777274,0,0.472210775728855,0,0,0,0.0278407334912949,0,0,0,0.00167404965488822,0,0,0,0.000128773050376017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0,0,0,1.21653021252783e-05,0,0,0,0.000121653021252783,0,0,0,0.00161798518266201,0,0,0,0.0279923601902653,0,0,0,0.470055108818627,0,0.470699869831267,0,0,0,0.0278220459605114,0,0,0,0.00154499336991034,0,0,0,0.000121653021252783,0,0,0,1.21653021252783e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,0,0.000116352128080423,0,0,0,0.00169874106997417,0,0,0,0.0267609894584972,0,0,0,0.472331463942475,0,0.470493100318805,0,0,0,0.0269122472250017,0,0,0,0.00155911851627766,0,0,0,0.000116352128080423,0,0,0,1.16352128080423e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0,0,8.92767467553482e-05,0,0,0,0.00169625818835162,0,0,0,0.0268053432132933,0,0,0,0.473880971777388,0,0.468926112332467,0,0,0,0.0268388219933266,0,0,0,0.00166277940831836,0,0,0,0.000100436340099767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",0,0,0,0,0,0,1.05906399923747e-05,0,0,0,6.35438399542484e-05,0,0,0,0.00171568367876471,0,0,0,0.0272497167003802,0,0,0,0.470256187581416,0,0.470573906781187,0,0,0,0.0284146870995414,0,0,0,0.00162036791883334,0,0,0,9.53157599313726e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0,9.88552561339686e-06,0,0,0,8.89697305205718e-05,0,0,0,0.00137408806026216,0,0,0,0.0273235927954289,0,0,0,0.471776824373752,0,0.470906898119773,0,0,0,0.0266909191561715,0,0,0,0.00167065382866407,0,0,0,0.000148282884200953,0,0,0,9.88552561339686e-06,0,0,0,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,0,0,0,0,0.000136290535076641,0,0,0,0.00157188417121726,0,0,0,0.0274761718714508,0,0,0,0.47193777882772,0,0.469693528016791,0,0,0,0.0274307416930919,0,0,0,0.00162640038524791,0,0,0,0.000127204499404865,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",0,0,0,0,0,0,0,0,0,9.91266938273808e-06,0,0,0,0.000109039363210119,0,0,0,0.00161576510938631,0,0,0,0.0273887055045053,0,0,0,0.472239569393642,0,0.469820878064254,0,0,0,0.0271805394474678,0,0,0,0.00158602710123809,0,0,0,3.96506775309523e-05,0,0,0,9.91266938273808e-06,0,0,0,0,0,0,0,0,0
"28",0,0,0,0,0,0,0,0,0,0,1.05910886580032e-05,0,0,0,0.000148275241212044,0,0,0,0.00156748112138447,0,0,0,0.0274944661561762,0,0,0,0.470593842341054,0,0.470392611656552,0,0,0,0.0278651542592063,0,0,0,0.00181107616051854,0,0,0,9.53197979220284e-05,0,0,0,1.05910886580032e-05,0,0,0,1.05910886580032e-05,0,0,0,0
"29",0,0,0,0,0,0,0,0,0,0,0,2.2335887069755e-05,0,0,0,7.81756047441424e-05,0,0,0,0.00150767237720846,0,0,0,0.0279533626677984,0,0,0,0.47222532442876,0,0.46943333854504,0,0,0,0.026892408031985,0,0,0,0.00179803890911528,0,0,0,8.93435482790199e-05,0,0,0,0,0,0,0,0,0,0,0
"30",0,0,0,0,0,0,0,0,0,0,0,0,1.16661611330176e-05,0,0,0,0.000116661611330176,0,0,0,0.00176159033108565,0,0,0,0.027893791269045,0,0,0,0.469096339158636,0,0.472117874892088,0,0,0,0.0270771599897338,0,0,0,0.00176159033108565,0,0,0,0.000163326255862246,0,0,0,0,0,0,0,0,0,0
"31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000157274552977328,0,0,0,0.00160903965738344,0,0,0,0.0274746546008856,0,0,0,0.47077112923129,0,0.471206658762612,0,0,0,0.027027027027027,0,0,0,0.00170582399767718,0,0,0,4.83921701468702e-05,0,0,0,0,0,0,0,0,0
